sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748448	LI11	0.905701	MCAN/UY/2015/gCH2	gCH2	NA	gCH2	gCH2	Americas	UY	Uruguay	NA	NA	MCAN	NA	0	0	DUPLICATE	NA
SRR20748447	LI11	0.984408	MCAN/UY/2015/gPL8	gPL8	NA	gPL8	gPL8	Americas	UY	Uruguay	NA	NA	MCAN	NA	0.0394153222296938	0	DUPLICATE	NA
SRR20748445	LI11	0.99988	MCAN/UY/2015/mCO8	mCO8	NA	mCO2	mCO2	Americas	UY	Uruguay	NA	NA	MCAN	NA	0	0	DUPLICATE	NA
SRR20748463	LI13	0.999874	MNYT/CN/80/RACOONDOG	RACOONDOG	NA	666M	RACOONDOG	Central.East.Asia	CN	China	Miyun	NA	MNYT	Nyctomys procyonoides	3.59634240806927	4	NA	Dog
SRR20748453	LI13	0.99988	MHOM/CN/79/STRAIN-B	STRAIN-B	NA	970M	STRAIN-B	Central.East.Asia	CN	China	Shandong	NA	MHOM	Homo sapiens	3.01344877900073	3	NA	Human
SRR20748472	LI13	0.99988	MCAN/UZ/2007/LRC-L1308	LRC-L1308	NA	5536M	LRC-L1308	Central.East.Asia	UZ	Uzbekistan	Namangan Region	NA	MCAN	Canis familiaris	3.92054077451714	4	NA	Dog
SRR20748470	LI13	0.99988	MCAN/UZ/2007/LRC-L1309	LRC-L1309	NA	5537M	LRC-L1309	Central.East.Asia	UZ	Uzbekistan	Namangan Region	NA	MCAN	Canis familiaris	3.80644558638974	4	NA	Dog
SRR20748469	LI13	0.99986	MCAN/UZ/2007/LRC-L1310	LRC-L1310	NA	5538M	LRC-L1310	Central.East.Asia	UZ	Uzbekistan	Namangan Region	NA	MCAN	Canis familiaris	3.74827028897386	4	NA	Dog
SRR20748480	LI3	0.99988	MCAN/AL/98/C78L574-2	C78L574-2	NA	3895M	C78L574-2	Europe	AL	Albania	Tirana	NA	MCAN	Canis familiaris	3.84813918877917	4	NA	Dog
SRR20748452	LI3	0.99988	MHOM/GR/79/LGR4	LGR4	NA	972M	LGR4	Europe	GR	Greece	Salamis	NA	MHOM	Homo sapiens	3.56727176652053	4	NA	Human
