sample	population	population_proportion	source_country	source_state_or_region	host_species
SRR12506711	10	0.99988	Brazil	Rio Grande do Norte	NA
SRR12506716	11	0.99988	Brazil	Espírito Santo	NA
SRR12506718	5	0.99988	Brazil	Mato Grosso	NA
SRR12506719	5	0.99988	Brazil	Mato Grosso	NA
SRR12506720	5	0.99988	Brazil	Mato Grosso	NA
SRR12506721	5	0.999869	Brazil	Mato Grosso	NA
SRR12506722	5	0.99988	Brazil	Mato Grosso	Dog
SRR12506723	5	0.999876	Brazil	Mato Grosso	NA
SRR12506724	5	0.99988	Brazil	Mato Grosso	NA
SRR12506726	5	0.999872	Brazil	Mato Grosso	Dog
SRR13744648	2	0.950664	Brazil	Maranhão	Homo sapiens
SRR13744626	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744604	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744593	2	0.99988	Brazil	Piauí	Homo sapiens
SRR13744679	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744678	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744677	2	0.999875	Brazil	Piauí	Homo sapiens
SRR13744676	2	0.99988	Brazil	Piauí	Homo sapiens
SRR13744675	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744674	2	0.99988	Brazil	Piauí	Homo sapiens
SRR13744672	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744671	2	0.99988	Brazil	Piauí	Homo sapiens
SRR13744669	2	0.960107	Brazil	Piauí	Homo sapiens
SRR13744668	2	0.999876	Brazil	Maranhão	NA
SRR13744667	2	0.999872	Brazil	Maranhão	Homo sapiens
SRR13744666	2	0.99988	Brazil	Piauí	Homo sapiens
SRR13744665	2	0.99988	Brazil	Piauí	Homo sapiens
SRR13744662	2	0.993057	Brazil	Maranhão	Homo sapiens
SRR13744661	2	0.999879	Brazil	Piauí	Homo sapiens
SRR13744660	2	0.999875	Brazil	Piauí	Homo sapiens
SRR13744657	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744656	2	0.967029	Brazil	Maranhão	Homo sapiens
SRR13744654	2	0.948459	Brazil	Piauí	Homo sapiens
SRR13744653	2	0.99988	Brazil	Piauí	NA
SRR13744652	2	0.99988	Brazil	Piauí	Homo sapiens
SRR13744650	2	0.987612	Brazil	Piauí	Homo sapiens
SRR13744649	2	0.937925	Brazil	Maranhão	Homo sapiens
SRR13744647	2	0.999879	Brazil	Piauí	Homo sapiens
SRR13744645	2	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744682	7	0.967589	Brazil	Piauí	Dog
SRR13744681	8	0.99988	Brazil	Piauí	Dog
SRR13744638	8	0.999858	Brazil	Piauí	Homo sapiens
SRR13744636	8	0.999866	Brazil	Piauí	Homo sapiens
SRR13744635	8	0.999872	Brazil	Maranhão	Homo sapiens
SRR13744634	8	0.938623	Brazil	Piauí	Homo sapiens
SRR13744633	8	0.906676	Brazil	Piauí	Homo sapiens
SRR13744632	8	0.999873	Brazil	Piauí	Homo sapiens
SRR13744630	8	0.99988	Brazil	Piauí	Homo sapiens
SRR13744629	8	0.999879	Brazil	Maranhão	Homo sapiens
SRR13744628	7	0.99988	Brazil	Piauí	Homo sapiens
SRR13744625	7	0.99988	Brazil	Piauí	Homo sapiens
SRR13744619	6	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744618	7	0.99988	Brazil	Piauí	Homo sapiens
SRR13744617	8	0.99988	Brazil	Piauí	Homo sapiens
SRR13744612	8	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744610	8	0.99988	Brazil	Piauí	Homo sapiens
SRR13744608	8	0.99988	Brazil	Piauí	Homo sapiens
SRR13744607	8	0.99988	Brazil	Piauí	Homo sapiens
SRR13744605	8	0.999856	Brazil	Pará	Homo sapiens
SRR13744603	6	0.99988	Brazil	Maranhão	Homo sapiens
SRR13744599	8	0.99988	Brazil	Piauí	Dog
SRR13744597	8	0.91632	Brazil	Piauí	Dog
SRR13744596	8	0.970418	Brazil	Piauí	Dog
SRR13744594	3	0.902039	Brazil	Piauí	Dog
SRR16972343	8	0.999293	Brazil	Piauí	Homo sapiens
SRR16972341	3	0.912545	Brazil	Piauí	Homo sapiens
SRR16972339	8	0.941053	Brazil	Piauí	Homo sapiens
SRR16972338	8	0.99988	Brazil	Maranhão	Homo sapiens
SRR16972311	3	0.932664	Brazil	Maranhão	NA
SRR16972314	8	0.942357	Brazil	Maranhão	NA
SRR16972316	8	0.91925	Brazil	Maranhão	NA
SRR16972319	8	0.901984	Brazil	Maranhão	NA
SRR16972321	8	0.919236	Brazil	Maranhão	NA
SRR16972322	8	0.99988	Brazil	Maranhão	NA
SRR16972324	11	0.99988	Brazil	Maranhão	NA
ERR205763	12	0.99987	Honduras	NA	NA
ERR205788	12	0.99988	Honduras	NA	NA
SRR8608748	13	0.999875	Honduras	NA	NA
ERR205787	13	0.99988	Panama	NA	NA
