sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748425	LO11	0.99989	MHOM/BR/NA/NDI-044ES	NDI-044ES	NA	NDI_044ES	NDI-044ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	NA	0	0	NA	NA
SRR20748423	LO7	0.99989	MHOM/BR/1997/NDI-050	NDI-050	NA	NDI_050	NDI-050	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748422	LO7	0.99989	MHOM/BR/1997/NDI-051	NDI-051	NA	NDI_051	NDI-051	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748421	LO7	0.99989	MHOM/BR/1997/NDI-052	NDI-052	NA	NDI_052	NDI-052	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748420	LO10	0.99989	MHOM/BR/NA/NDI-053ES	NDI-053ES	NA	NDI_053ES	NDI-053ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	NA	0	0	NA	NA
SRR20748419	LO10	0.99989	MHOM/BR/1997/NDI-054	NDI-054	NA	NDI_054	NDI-054	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748417	LO7	0.99989	MHOM/BR/1997/NDI-056	NDI-056	NA	NDI_056	NDI-056	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748383	LO10	0.99989	MHOM/BR/1998/NDI-060	NDI-060	NA	NDI_060	NDI-060	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748381	LO7	0.99989	MHOM/BR/NA/PI02C	PI02C	NA	PI02C	PI02C	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	0.00267547298751933	0	NA	Human
SRR20748380	LO2	0.99989	MHOM/BR/NA/PI03C	PI03C	NA	PI03C	PI03C	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	0.0254336136621672	0	NA	Human
SRR20748379	LO7	0.99989	MHOM/BR/NA/PI12C	PI12C	NA	PI12C	PI12C	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	3.850941756868	4	NA	Human
SRR20748374	LO7	0.99989	MHOM/BR/1995/UB126	UB126	NA	UB126	UB126	Americas	BR	Brazil	Minas Gerais	Porteirinha	MHOM	Homo sapiens	6.75e-4	0	NA	Human
SRR20748371	LO10	0.977756	MHOM/BR/1995/UB129	UB129	NA	UB129	UB129	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748370	LO11	0.999884	MHOM/BR/NA/UB131ES	UB131ES	NA	UB131ES	UB131ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR20748366	LO11	0.928515	MHOM/BR/NA/UB151BA	UB151BA	NA	UB151BA	UB151BA	Americas	BR	Brazil	Bahia	NA	MHOM	Homo sapiens	0.176832019345243	0	NA	Human
SRR20748365	LO10	0.98396	MHOM/BR/1996/UB156	UB156	NA	UB156	UB156	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748364	LO7	0.99989	MHOM/BR/1996/UB157	UB157	NA	UB157	UB157	Americas	BR	Brazil	Minas Gerais	Capitão Eneas	MHOM	Homo sapiens	0	0	NA	Human
SRR20748363	LO10	0.99989	MHOM/BR/1996/UB159	UB159	NA	UB159	UB159	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0.00466428030167759	0	NA	Human
SRR20748360	LO11	0.995907	MHOM/BR/1996/UB163	UB163	NA	UB163	UB163	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
SRR20748358	LO10	0.963042	MHOM/BR/1996/UB166	UB166	NA	UB166	UB166	Americas	BR	Brazil	Minas Gerais	Pirapora	MHOM	Homo sapiens	0.056022864629567	0	NA	Human
SRR20748357	LO11	0.99989	MHOM/BR/NA/UB174ES	UB174ES	NA	UB174ES	UB174ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR20748356	LO11	0.99989	MHOM/BR/NA/UB179ES	UB179ES	NA	UB179ES	UB179ES	Americas	BR	Brazil	Espírito Santo	NA	MHOM	Homo sapiens	0.00599607815943264	0	NA	Human
SRR20748354	LO10	0.999888	MHOM/BR/1996/UB186	UB186	NA	UB186	UB186	Americas	BR	Brazil	Minas Gerais	Montes Claros	MHOM	Homo sapiens	0	0	NA	Human
